"product_id","normalized_name","price","price1","price2","price3"
345503031," nintendo switch dobe travel storage eva carry bag",389000,461000.57750129525,461000.5775012955,450607.0560897739
475048194," sony kd 55x8500g 55 inch uhd 4k android triluminos led tv 55x8500",11495000,9957309.587174403,7313162.758965041,6277662.777622001
630658111," xiaomi redmi 8 4 64 gb biru",1741000,2206050.0962901236,2206050.0962901236,756666.6666666666
623130260," mi true wireless earbuds basic",299000,334724.41599316394,334724.415993164,291239.19719413226
628122175," ps4 playstation 4 slim 1tb mega pack 2 bundle",5199000,5379296.5528146485,5379296.552814649,3749666.6666666665
557273234," brica bsteady pro b steady gimbal smartphone 3 axis stabilizer",1080000,0,0,1430931.7636811482
384372516," fujifilm x t100 kit 15 45mm fuji xt100 paket 32gb",6850000,7516891.174597719,7516891.17459772,0
664417763," coocaa 65 inch 4k android 9 0 smart led tv dolby vision wifi 65s6g",19990000,0,0,0
181576618," panda prj 4042 rj 11 cash drawer",450000,0,0,457647.54173061135
589839421," samsung galaxy a20s 32gb 3gb black",2030600,2306679.246642473,2306679.2466424736,2353851.1978973644
293257494," jakarta digital canon eos m50 kit ef m 15 45mm paket",7725000,7272991.754451331,7272991.754451331,7310323.003000571
671248175," asus rog 2 asus hitam",8735000,10181602.801804893,10181602.801804893,0
643288221," redmi 8 4gb 64gb biru",1849000,0,0,0
612321678," sony alpha a6400 mirrorless kit 16 50mm free accessories",13299000,0,0,12750000
601937090," zhiyun tech weebill s handheld gimbal stabilizer",5040000,5011998.050293237,5011998.050293238,4285588.054483414
629133941," coocaa led tv 40 inch 40s6g smart android 9 certified netflix",3099000,2684583.1788955964,2684583.178895597,2224770.369153654
295262514," safi expert cleanser 2in1 toner 150ml",54000,49762.20626682506,0,50978.1289692631
440206343," samsung a50 6 6gb 128gb",3450000,3616984.1036473718,3616984.1036473727,2524054.8947070013
512139481," apple tv 4k 64 gb",4109000,4050126.784991204,2314824.403042728,3911236.6299739736
609839477," uwell caliburn replacement catridge authentic",39900,52800.503799792124,52800.50379979212,0
292404993," dji mavic air combo drone fly more",12950000,13110186.402605047,13110186.402605047,8814457.924088212
209000524," polytron pld32t1500 tower cinemax tv led 32 inch 5thn",1899000,0,0,2252071.668326393
634339219," philips daily food processor hr7310 00 hr 7310",969000,0,0,982807.9982425306
565710569," samsung galaxy a30s 4 64gb hitam",2710000,3054148.6203413364,3054148.6203413354,2648595.6607570346
119762709," perdana internet three tri 8gb",100000,98198.90240851625,98198.90240851625,101596.2414721104
378355223," sony alpha a6000 body only 1 tahun kamera mirrorless",6350000,6235331.1679075295,6235331.1679075295,0
588930293," oppo a5 3gb 64gb black",2499000,2507026.703001487,2507026.703001487,2507026.703001487
694706036," samsung s20 plus 128gb blue",14499000,0,0,13499000
551766901," nba 2k20 ps4 nba2k20",650000,654197.1283373126,406892.69123857346,667722.199847011
597935715," samsung galaxy m30s 4 4gb 64gb hitam",2854000,3521684.673104145,3521684.673104145,3642440.7234893506
664519305," jabra elite 75t true wireless earphones bluetooth 75 t",2590000,2989908.813147632,2989908.813147631,2590000
346607831," smoked beef bacon silce daging sapi asap 500g",93000,0,0,121293.30436208047
428717848," sharp air purifier fp j80y h",6969000,4576804.609048229,5449750.55944396,2749851.5239354805
31130710," fujifilm fujinon lens xf 23mm f 1 4 r",10099000,9992787.707714701,9992787.7077147,7063875.13186502
431833426," canon eos m50 kit 15 45mm kamera mirrorless",7599000,6260770.333320778,6260770.333320778,6163554.486033149
528947361," nintendo switch lite console video game",3650000,4136848.6652021315,4136848.665202132,4419651.324319571
33865473," daikin 1pk ftv25axv14 ac low watt r 32 termasuk pasang",3798000,4598983.263279436,4598983.263279436,1943892.1434865578
639682607," xiaomi redmi 8a 32 gb biru",1325000,1581189.2846019384,1581189.2846019384,1600939.0347559438
439360605," denpoo mesin cuci semi auto 2 tabung dw 898sp 8kg 4 pulsator",1599000,1727407.2277803223,1439633.898232443,0
522115478," nintendo switch lite color",3149000,4089039.5920211505,3711632.1682338635,4051043.47772844
232811428," cosmos kipas angin berdiri 16 xdc",202000,221851.4418679178,150000,208811.2084368234
480163840," epson l5190 printer ecotank multifungsi print scan copy fax",3795000,3335579.4425982325,3335579.4425982325,2533015.4623774188
340665765," nintendo switch ns super mario party",845000,997298.3579582574,828666.6666666666,1134348.868244964
568238207," kulkas side by lg gc c247uguv inverter linear",12999000,12604980.77899149,12604980.77899149,7337764.969480708
715949589," playstation 4 mega pack playstation4 ps4 megapack",5200000,5527025.696005292,5527025.696005292,5646243.594213398
555897449," psvita ps vita slim cfw henkaku 128gb siap tempur",2550000,2740456.5790003315,2740456.5790003315,3113045.2409614637
479393538," epson printer eco tank l5190",3780000,3620407.599561862,3620407.599561862,3739218.3507900285
622182055," dji mavic mini fly more combo drone",6999000,6642046.773447206,6642046.773447206,7579726.1757860305
442316630," ps4 psn 3 bulan",250000,267268.7655792469,267268.7655792469,244777.3972843096
312788995," canon eos 4000d kit 18 55 mm 4000",3550000,4420734.101546453,4420734.101546453,1878852.2494488074
